Request	User-Agent	Exposure1	Exposure2	Exposure3	Exposure4	
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=540&height=960&device_brand=htccn_chs_cmcc&ouid=1b962642d785edbf&pid=4e308edfc33936d7&guid=f52938a5f3e0a8c1897d76e8940f2694&mac=18:87:96:d1:d3:98&imei=860407001579453&ver=3.2.1&network=WIFI	HTC Z710t	None	None	None	None
None	None	None	None	None	None
advertisement	MZ606	None	None	None	None	
advertisement	MZ606	None	None	None	None	
advertisement	MZ606	None	None	None	None	
advertisement	MZ606	None	None	None	None	
advertisement	MZ606	None	None	None	None
None	None	None	None	None	None
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=720&height=1200&device_brand=Lenovo&ouid=65d70a60759a7b6&pid=4e308edfc33936d7&guid=c9a24191876278e8dfce3ee1919b1de6&mac=00:12:fe:d9:07:91&imei=864737010019372&ver=3.2.1&network=WIFI	Lenovo K860	None	None	None	None	
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=720&height=1200&device_brand=Lenovo&ouid=65d70a60759a7b6&pid=4e308edfc33936d7&guid=c9a24191876278e8dfce3ee1919b1de6&mac=00:12:fe:d9:07:91&imei=864737010019372&ver=3.2.1&network=WIFI	Lenovo K860	None	None	None	None	
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=720&height=1200&device_brand=Lenovo&ouid=65d70a60759a7b6&pid=4e308edfc33936d7&guid=c9a24191876278e8dfce3ee1919b1de6&mac=00:12:fe:d9:07:91&imei=864737010019372&ver=3.2.1&network=WIFI	Lenovo K860	None	None	None	None	
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=720&height=1200&device_brand=Lenovo&ouid=65d70a60759a7b6&pid=4e308edfc33936d7&guid=c9a24191876278e8dfce3ee1919b1de6&mac=00:12:fe:d9:07:91&imei=864737010019372&ver=3.2.1&network=WIFI	Lenovo K860	None	None	None	None	
API：http://test1.api.3g.youku.com/adv/startpage?site=1&width=720&height=1200&device_brand=Lenovo&ouid=65d70a60759a7b6&pid=4e308edfc33936d7&guid=c9a24191876278e8dfce3ee1919b1de6&mac=00:12:fe:d9:07:91&imei=864737010019372&ver=3.2.1&network=WIFI	Lenovo K860	None	None	None	None
